baseItem,category,tier,cost,nMats,mat1,mat1count,mat2,mat2count,mat3,mat3count,mat4,mat4count,mat5,mat5count,mat6,mat6count
Bronze Sword,1,0,10,1,Bronze Ore,1,,,,,,,,,,
Bronze Sword,1,1,10,1,Animal Fur,1,,,,,,,,,,
Bronze Sword,1,2,10,1,Thin Wood,1,,,,,,,,,,
Bronze Sword,1,3,10,1,Small Horn,1,,,,,,,,,,
Landing Sword,1,0,140,1,Small Horn,1,,,,,,,,,,
Landing Sword,1,1,140,1,Bronze Ore,1,,,,,,,,,,
Landing Sword,1,2,140,1,Animal Bone,1,,,,,,,,,,
Landing Sword,1,3,140,1,Animal Pelt,1,,,,,,,,,,
Mace,1,0,200,1,Lead Ore,1,,,,,,,,,,
Mace,1,1,200,1,Undead Carrion,1,,,,,,,,,,
Mace,1,2,200,1,Clear Water,1,,,,,,,,,,
Mace,1,3,200,1,Insect Venom,1,,,,,,,,,,
Makhaira,1,0,400,1,Copper Ore,1,,,,,,,,,,
Makhaira,1,1,400,1,Small Fang,1,,,,,,,,,,
Makhaira,1,2,400,1,Dry Bone,1,,,,,,,,,,
Makhaira,1,3,400,1,Coarse Sand,1,,,,,,,,,,
Thousand Troops,1,0,1000,1,Orc Tusk,1,,,,,,,,,,
Thousand Troops,1,1,1000,1,Ape Fur,1,,,,,,,,,,
Thousand Troops,1,2,1000,1,Iron Ore Fragment,1,,,,,,,,,,
Thousand Troops,1,3,1000,2,Iron Ore Fragment,1,Clear Spring Water,1,,,,,,,,
Strong Hatchet,1,0,600,1,Goblin Horn,1,,,,,,,,,,
Strong Hatchet,1,1,600,1,Brown Wood,1,,,,,,,,,,
Strong Hatchet,1,2,600,1,Saurian Tail,1,,,,,,,,,,
Strong Hatchet,1,3,600,1,Dull Iron Ingot,1,,,,,,,,,,
Iron Sword,1,0,1200,1,Iron Ore,1,,,,,,,,,,
Iron Sword,1,1,1200,1,Mysterious Gold Lump,1,,,,,,,,,,
Iron Sword,1,2,1200,2,Rough Thread,1,Saurian Tail,1,,,,,,,,
Iron Sword,1,3,1200,2,Silken Sand,1,Ape Fur,1,,,,,,,,
Pelta,2,0,100,1,Animal Pelt,1,,,,,,,,,,
Pelta,2,1,100,1,Insect Venom,1,,,,,,,,,,
Pelta,2,2,100,1,Undead Carrion,1,,,,,,,,,,
Pelta,2,3,100,1,Thin Wood,1,,,,,,,,,,
Strength,2,0,300,1,Brown Wood,1,,,,,,,,,,
Strength,2,1,300,1,Saurian Tail,1,,,,,,,,,,
Strength,2,2,300,1,Quality Gala Mushroom,1,,,,,,,,,,
Strength,2,3,300,1,Silken Sand,1,,,,,,,,,,
Muscular Wall,2,0,500,1,Orc Tusk,1,,,,,,,,,,
Muscular Wall,2,1,500,1,Goblin Horn,1,,,,,,,,,,
Muscular Wall,2,2,500,1,Clear Spring Water,1,,,,,,,,,,
